DOI,Title
10.22456/2175-2745.150904,Two-Stage Fine-Tuning of Object Detectors for Industrial Environments
10.22456/2175-2745.150907,Comparison of Low-Cost 3D Reconstruction Techniques for Change Detection in Indoor Environments
10.22456/2175-2745.150908,Deep Learning-Based Brain Tumor Classification in MRI with External Validation Across Multiple Datasets
10.22456/2175-2745.150916,Semantic Segmentation of Coffee Regions From Satellite Images Using Deep Learning
10.22456/2175-2745.150917,HEVA: Integrating ViT and ResNet50 with ABCD Clinical Features for Skin Cancer Diagnosis
10.22456/2175-2745.150920,Evaluating Preprocessing and Data Augmentation for Soybean Leaf Pest Classification with Deep Learning
10.22456/2175-2745.150921,Federated Semantic Segmentation of Synthetic UAV Imagery under Non-IID Conditions
10.22456/2175-2745.150922,Evaluating Deep Segmentation Models for Wildfire Mapping Using Sentinel-2 Satellite Imagery
10.22456/2175-2745.150923,"Deep Learning Models for Brachial Lumen Segmentation: : A Comparative Study of UNet++, MultiResUNet, and TransUNet Architectures in B-Mode Ultrasound Imaging"
10.22456/2175-2745.150924,Poultry Detection on Hooks in Meat Processing Plant Production Lines
10.22456/2175-2745.150926,Livestock Fish Larvae Counting using DETR and YOLO based Deep Networks
10.22456/2175-2745.150929,Radiomics for the Classification of Radiological Patterns in Computed Tomography
10.22456/2175-2745.150930,Exploratory Study on Mastitis Identification in Bovine Udders Using Thermography
10.22456/2175-2745.150932,Performance Evaluation of Low-Cost 3D Scanning Techniques
10.22456/2175-2745.150936,SAR Images Despeckling Using Convolutional Neural Networks with Stochastic Distances
10.22456/2175-2745.150939,Sign Language Segmentation Models and Their Impact on Automatic Translation Systems
10.22456/2175-2745.150940,Comparative Evaluation of YOLO-family Detectors for Pig Detection in Precision Livestock Systems
10.22456/2175-2745.150941,Improving Image Classification through Active Learning and Pseudo-Labeling in Vision-Language Models
10.22456/2175-2745.150942,Automation of Coffee Biotic Stresses Classification Using Convolutional Neural Networks and Image Preprocessing Techniques
10.22456/2175-2745.150950,Human Gesture Recognition using CNNs for Human-Robot Interaction
10.22456/2175-2745.150955,CoSegXAI: A Pipeline for Context vs. Segmented ROI Images in Lung Disease Classification through Saliency Map Insights
10.22456/2175-2745.150960,Multi-Fruit Tracking and 3-D Structure Recovery via CoTracker
10.22456/2175-2745.150968,Magnetic Resonance Imaging Acceleration Using Diffusion Models::  A Comparative Study of MC-DDPM and HFS-SDE
10.22456/2175-2745.150973,A  Luminous Pen for Air-Writing: Hybrid Approach with Computer Vision and Vision–Language Models
10.22456/2175-2745.150974,Bias Analysis and Data Augmentation Strategies in Skin Lesion Classification
10.22456/2175-2745.150976,A Deep Transfer Learning Strategy for Identifying Photovoltaic Panels Mounted on Building Rooftops from Orthophotos
10.22456/2175-2745.150978,On the use of Image-Based Feature Extraction for Non-Intrusive Load Monitoring: : A Comparative Analysis of Techniques and Window Sizes
10.22456/2175-2745.150979,Grad-CAM Sensitivity to Orientation Transformations in Breast Cancer Histopathological Images
10.22456/2175-2745.150980,Two-Dimensional Image Processing for Fault Diagnosis in Centrifugal Pumps: An Approach Based on Feature Engineering and Convolutional Neural Networks
10.22456/2175-2745.150996,Evaluating Monocular Depth Estimation on Embedded Platforms for Autonomous Navigation
10.22456/2175-2745.15126,Um Arcabouço para Desenvolvimento de Algoritmos da Análise Formal de Conceitos
10.22456/2175-2745.151469,Tracking Ethological Behaviors of Broiler Chickens Through Computer Vision (YoloV11) Using an Android Mobile Device
10.22456/2175-2745.15581,Detecção de Inclinação em Imagens de Documentos
10.22456/2175-2745.16413,"Usando CSP, RSL e o Modelo PopOrg na Especificação Formal de Organizações de SMAs"
10.22456/2175-2745.16572,Aplicação de Agentes BDI com Percepção Fuzzy em um Modelo Presa-Predador Fuzzy
10.22456/2175-2745.16730,Um Sistema de Apoio à Decisão Baseado em Agentes para Tratamento de Ocorrências no Setor Elétrico
10.22456/2175-2745.16996,"Identifying people who are talking about the same topic in social networks, even having a different cultural background"
10.22456/2175-2745.17679,Planejamento de um Serious Games Voltado para Saúde Bucal em Bebês
10.22456/2175-2745.18244,Comparative Analyses of Power Consumption in Arithmetic Algorithms Implementation
10.22456/2175-2745.19730,Detecção e Correção Automática de Estilos de Aprendizagem em Sistemas Adaptativos para Educação
10.22456/2175-2745.20020,Sistema Pervasivo de Informação em Saúde Projetado para ser Programado pelo Usuário Clínico
10.22456/2175-2745.20688,Protocolo de Leilões Simultâneos com Escalonamento: Aplicação ao Problema de Planejamento de Movimentações de Derivados de Petróleo
10.22456/2175-2745.20816,Utilização do Caminhamento Aleatório na Identificação de Características de Documentos na Língua Portuguesa
10.22456/2175-2745.21062,Uma Arquitetura Aberta e Orientada a Serviços para Softwares Assistentes Pessoais
10.22456/2175-2745.21506,LTI Agent Rescue: A Partial Global Approach for Task Allocation in the RoboCup Rescue
10.22456/2175-2745.21979,Estudo do Padrão Avançado de Criptografia AES – Advanced Encryption Standard
10.22456/2175-2745.23471,Combinando Workflows e Semântica para Facilitar o Reuso de Software
10.22456/2175-2745.25070,Common Dissimilarity Measures are Inappropriate for Time Series Clustering
